title,authors,summaries,page
Antigone,Sophocles,"""Antigone"" by Sophocles is an Athenian tragedy written in either 442 or 440 BC. When Creon, the new ruler of Thebes, forbids the burial of Polynices—a brother who died fighting for the opposing side in a civil war—his niece Antigone faces an impossible choice. She must decide between obeying her uncle's decree or honoring divine law and family duty by burying her brother. Her defiance sets off a clash between human authority and sacred obligation that threatens to destroy them all. (This is an automatically generated summary.)",2
Grimm testvérek összegyüjtött meséi,"Grimm, Jacob, Grimm, Wilhelm","""Grimm testvérek összegyüjtött meséi"" by Jacob Grimm and Wilhelm Grimm is a collection of fairy tales first published in 1812. Two brothers transform oral traditions into written history, gathering folk stories from friends and old books across Germany. What begins as 86 tales grows through seven editions into 200 stories that will define Western children's literature. Born from financial hardship and scholarly passion, these collected tales undergo constant revision—wicked mothers become stepmothers, unsuitable content shifts and changes. The brothers preserve a disappearing world of German folklore, creating a work UNESCO now honors in its Memory of the World Register. (This is an automatically generated summary.)",2
Álomvilág: Elbeszélések,"Ambrus, Zoltán","""Álomvilág: Elbeszélések"" by Zoltán Ambrus is a collection of short stories written in the early 20th century. The book explores themes of dreams, adventure, and mystical encounters through the experiences of its young protagonist. The narrative blends elements of fantasy and reality, rich in imagery and emotional depth.  The opening of ""Álomvilág"" introduces the reader to a young boy who escapes from the confines of a large blue room, symbolizing the limitations of his everyday life. As he ventures into a dreamlike landscape, he encounters enchanting elements such as a shimmering river and a mysterious girl named Pókháló, who embodies a fairy-like persona. She offers him a life of happiness away from home but warns that he can never return. The story sets the tone for the rest of the collection, hinting at the interplay between desire and consequence in the realm of dreams and imagination. (This is an automatically generated summary.)",2
Thury Zoltán összes művei (1. kötet): Ketty és egyéb elbeszélések,"Thury, Zoltán","""Thury Zoltán összes művei (1. kötet)"" by Zoltán Thury is a collection of stories likely written in the early 20th century. The compilation includes various narratives that explore different aspects of life, highlighting themes such as social issues, personal struggles, and interpersonal relationships. The stories likely reflect the societal dynamics and challenges of the time, as seen through the eyes of everyday characters.  At the start of the collection, the opening story introduces us to Huber, a new landlord of a rundown apartment building who is focused on collecting rent from his tenants. As he interacts with the landlady, we learn about the struggles of the building’s residents, particularly a poor painter who faces eviction due to unpaid rent. The painter is depicted as a sensitive individual caught in a cycle of financial distress and desperation, expressing thoughts of self-harm. In parallel, a young girl named Ketty, the landlord's daughter, expresses a desire to have her portrait painted, providing a glimpse of hope amid the melancholy. The beginning effectively sets the stage for a deeper exploration of the characters' lives and the societal circumstances surrounding them in the following stories. (This is an automatically generated summary.)",2
Édes anyaföldem! : Egy nép s egy ember története (1. kötet),"Benedek, Elek","""Édes anyaföldem! : Egy nép s egy ember története (1. kötet)"" by Elek Benedek is a historical narrative written in the early 20th century. The work appears to chronicle personal memories intertwined with the history of the Hungarian people, focusing on the author's homeland and his familial heritage. Through intimate storytelling, the author intends to illustrate the struggles and resilience of the Székely people, drawing upon both idyllic and dramatic elements from his life.  The opening of the narrative introduces the author’s reflective journey as he recalls his small village, Kisbaczon, its unique charm, and the lives of its inhabitants, especially his family. He begins with a poignant admission of having started the book amidst personal and national turmoil, suggesting a desire to document the history of a people who have faced numerous adversities. The text vividly describes the village's character—the lush landscapes, the close-knit community, and the lineage of its families—underscoring the author's nostalgia and emotional connection to his roots. As he recounts his ancestry, he highlights notable figures in his family, particularly his grandfathers, whose legacies deeply impacted his personal development and understanding of identity. (This is an automatically generated summary.)",2
Régi magyar vitézi énekek és elegyes dalok (1. kötet),"Thaly, Kálmán","""Régi magyar vitézi énekek és elegyes dalok (1. kötet)"" by Kálmán Thaly is a collection of historical poems and songs compiled during the mid-19th century. This volume focuses on gathering original manuscripts and previously dispersed printed works from the 16th, 17th, and 18th centuries, showcasing Hungary's rich poetic heritage. The collection emphasizes themes of heroism, national identity, and cultural expression through traditional Hungarian verses, which celebrate the valiant past of the nation and its integral history.  The opening of this compilation reveals Thaly's deep commitment to preserving the Hungarian poetic tradition, which he believes has been diminished over time. He expresses his admiration for the lyrical nature of the Hungarian people, illustrating how songs have documented their experiences of longing, loss, and valor throughout history. Thaly explains the challenges of gathering these songs, reminiscing about the wealth of lost works that reflect Hungary's distinct culture. Through this meticulous archival effort, Thaly aims to enrich the current landscape of Hungarian literature with these expressive, historical pieces. (This is an automatically generated summary.)",2
Tündérkert: Szépasszonyok hosszú farsangja,"Móricz, Zsigmond","""Tündérkert: Szépasszonyok hosszú farsangja"" by Zsigmond Móricz is a historical novel written in the early 20th century. The book is set in the 17th century, focusing on the era of Gábor Báthory, a prince of Transylvania, and his interactions with significant characters, including his wife and various noble figures. The narrative likely explores themes of power, politics, and romance amidst historical turmoil, reflecting on the complexities of personal relationships against a backdrop of shifting loyalties.  The opening of the novel presents a vibrant scene filled with anticipation as townspeople gather outside a grand residence, eagerly awaiting the arrival of the young fejedelemasszony (princess). Through the eyes of a curious doorkeeper, readers are introduced to the characters, including the fejedelem, who displays a youthful charm, and his wife, who enters in a stunning golden gown. The atmosphere is charged with the juxtaposition of courtly elegance and underlying tensions, setting the stage for conflicts that emerge from personal desires and political ambitions. As the chapter unfolds, it becomes clear that the fejedelem's relationships with influential women and the expectations of his role are central to the narrative's development. (This is an automatically generated summary.)",2
A Bakony (2. kötet),"Eötvös, Károly","""A Bakony (2. kötet)"" by Károly Eötvös is a historical account written in the late 19th century. The work delves into the life and legacy of Sobri Joska, a notorious bandit from the Bakony region of Hungary, exploring the various legends surrounding him and his companions. It seems to engage with both factual recounting and folklore, illustrating Sobri’s impact on local culture and memory.  The opening of the work introduces the character of Sobri and sets the stage for an exploration of his life, delving into public curiosity about his identity after he vanished nearly sixty-nine years prior. It highlights questions surrounding his past, such as whether he was truly a nobleman or simply an enigmatic outlaw. This section suggests that Eötvös intends to unravel myths and mende-mondák (folk tales) related to Sobri Jóska, including accounts of his notable companions, deeds, and the folklore that has grown around his name. It reflects on the intersection of history and storytelling, hinting at a rich narrative that captures the essence of Hungarian culture and memory. (This is an automatically generated summary.)",2
Andor: Regény,"Molnár, Ferenc","""Andor: Regény"" by Ferenc Molnár is a novel written in the early 20th century. The story seems to follow the character Andor, a young man navigating his responsibilities and relationships in Budapest, particularly in the context of significant changes in his life, the loss of his parents, and the complexities of young love.   The opening of the novel sets a somber and reflective tone as it introduces Andor during the early hours of dawn, crossing the Margit Bridge from Pest to Buda. Alone and tired, he contemplates the tranquility around him while grappling with his loneliness in the wake of his mother's death and his father's declining health. The narrative then shifts to Andor's home, where he reflects on his past, his relationships, particularly with Turnovszky Ella, and his impending move to a new apartment. As he prepares to leave his childhood home, the emotional weight of farewell looms large, underscored by memories of love, family tension, and the anxiety of stepping into adulthood. With layers of introspection and developing character dynamics, the beginning lays a strong foundation for the narrative's exploration of personal growth and the inevitabilities of life. (This is an automatically generated summary.)",2
Századunk magyar irodalma képekben: Széchenyi föllépésétől a kiegyezésig,"Endrődi, Sándor","""Századunk magyar irodalma képekben: Széchenyi föllépésétől a kiegyezésig"" by Endrődi Sándor is a historical account written in the late 19th century. The book provides an overview of Hungarian literature from the period of Széchenyi's emergence as a national figure to the Compromise that defined Hungary's status in the Austro-Hungarian Empire. The work aims to enliven the somewhat dry material of literary history, making it accessible to the general public, particularly targeting the youth and women.  The opening of the book presents an introduction where the author reflects on the significance of the time period covered and the challenges of addressing such a vast subject within the constraints of a single volume. Endrődi expresses his concerns about adequately capturing the literary movements and influential figures that emerged during a dynamic and transformative era in Hungary, characterized by political struggles and the fight for national identity. He emphasizes the importance of literature as a refuge and a means of expression for the Hungarian people, who faced multiple societal and political adversities, highlighting Széchenyi's pivotal role in shaping national consciousness through literature and reform initiatives. (This is an automatically generated summary.)",2
"A jövő század regénye, 2. rész","Jókai, Mór","""A jövő század regénye, 2. rész"" by Mór Jókai is a novel serialized beginning in 1872. Set between 1952 and 2000, this unconventional work imagines a future where the Hungarian-centered Monarchy faces invasion from an expansionist anarchist state called Nihil. Inventor Tatrangi Dávid's revolutionary technologies—including flying machines and a volcanic material called ichor—become crucial in defending against aggression. The narrative shifts from dystopian warfare to utopian peace as diplomatic and military victories reshape global politics, though the novel's ambitious scope remains debated by literary scholars. (This is an automatically generated summary.)",2
A könyv története (1. rész): A magyar könyvnyomtatás és könyvkereskedelem rövid története a legrégibb időktől napjainkig,"Steinhofer, Károly","""A könyv története (1. rész)"" by Károly Steinhofer is a historical account written in the early 20th century. This work provides a concise exploration of the history of book printing and book trading in Hungary, from ancient times up to the present conditions of its authorship and publishing, emphasizing its significance in the development of culture and knowledge.   The opening of the book outlines the author's intention to summarize the historical progress of book printing, beginning with the early techniques before Gutenberg, and extending to the introduction of movable type in Hungary. Steinhofer sets the stage by recounting the various methods of book reproduction used in ancient times, leading to a discussion on the revolutionary impact of Gutenberg's invention in the 15th century. The narrative touches on the cultural transformation brought about by the spread of printed materials, thus heralding the profound effects of printing on society and education. (This is an automatically generated summary.)",2
Mikor a mécses már csak pislog: Elbeszélések,"Mikszáth, Kálmán","""Mikor a mécses már csak pislog: Elbeszélések"" by Kálmán Mikszáth is a collection of short stories written in the early 20th century. This work explores social themes and anecdotes centered around the lives of the Budai citizens, particularly focusing on the intimate space of local taverns, their patrons, and day-to-day experiences. The characters come to life through witty observations and a clear depiction of societal norms of the time.  The opening of the collection introduces the reader to the tavern called ""Fehér Páva,"" where the colorful interplay between regular patrons and newcomers unfolds. One of the central figures is an endearing young girl referred to as ""sipsirica,"" who is both charming and innocent. As the narrative reveals her interactions with the eccentric characters that frequent the ""Páva,"" it hints at underlying themes of family, social class, and the simple joys and conflicts of life in Budapest. The emerging dynamics include humorous exchanges and hints of romance, establishing a strong sense of community and vivid characterization right from the start. (This is an automatically generated summary.)",2
Zágoni Mikes Kelemen törökországi levelei (1. kötet),"Mikes, Kelemen","""Zágoni Mikes Kelemen törökországi levelei (1. kötet)"" by Kelemen Mikes is a collection of 207 fictional letters written between 1717 and 1758. Composed during his Turkish exile following the Rákóczi independence war's failure, Mikes addressed these letters to an invented countess living near Constantinople. The letters chronicle the daily lives of exiles, reflect the author's emotional fluctuations, and include historical anecdotes. They blend descriptions of Ottoman customs with personal reflections, evolving from hopeful expectations of return to resigned acceptance of fate, all expressed through conversational elegance and gentle humor. (This is an automatically generated summary.)",2
Apró bűnök : $b Elbeszélések,"Tormay, Cécile",,2
Eredeti népmesék,"Arany, László","""Eredeti népmesék"" by László Arany is a collection of traditional Hungarian folk tales, likely written in the mid-19th century. The book features a variety of stories that capture the rich heritage of Hungarian folklore, presenting tales of kings, magical creatures, and moral lessons.   The opening of the collection introduces a story about a blind king who possesses a remedy for his blindness but refuses to reveal it. His three sons, determined to help him, conspire to discover the cure. The youngest son bravely confronts his father and learns that the king can only regain his sight by hearing the song of a magical bird. The story unfolds with the brothers journeying to find this bird, setting the stage for their adventures and the tests of character that follow. Each tale within the collection promises to explore themes of bravery, love, and the consequences of one's actions, highlighting the cultural and moral fabric of Hungarian tradition. (This is an automatically generated summary.)",2
Esztike kisasszony professzora: Regény,"Pálffy, Albert","""Esztike kisasszony professzora: Regény"" by Albert Pálffy is a novel written in the early 20th century. The story revolves around the Dorozsmay family, particularly their daughter Esztike, as well as other various characters navigating love, wealth, and social status in Hungarian society following the tumultuous history of the late 19th century. The narrative likely explores themes of familial duty, romantic aspirations, and the intricacies of social relationships amid changing fortunes.  The opening of the novel introduces readers to the origins and fortunes of the Dorozsmay family, recounting their historical struggles and eventual rise to wealth. It begins with a reflection on the family's past, highlighting significant ancestors and their fates, along with the current circumstances of Kálmán, a member of the family who inherits a modest estate after a series of misfortunes. As the plot unfolds, the focus shifts to the contemporary life of Kálmán’s daughter, Esztike, and examines her upbringing, prospects, and interactions with prospective suitors, mingling elements of romance and societal expectations as the characters seek their aspirations. (This is an automatically generated summary.)",2
Az egri csillagok (I. kötet) : $b Bornemissza Gergely élete,"Gárdonyi, Géza","""Az egri csillagok (I. kötet): Bornemissza Gergely élete"" by Géza Gárdonyi is a historical novel published in 1901. Set during the Ottoman occupation of 16th-century Hungary, it follows young Bornemissza Gergely and Cecey Éva from childhood through the legendary siege of Eger in 1552. After being kidnapped by Turkish raiders as children, their lives intertwine through adventure, captivity, and romance, culminating in the heroic defense of Eger fortress where a small Hungarian garrison faces an overwhelming Ottoman army in a battle that would help define Europe's borders for generations. (This is an automatically generated summary.)",2
"Élet, halál","Szép, Ernő","""Élet, halál"" by Ernő Szép is a literary collection written in the early 20th century. This work, blending prose and poetry, immerses the reader in the experiences and emotions surrounding life during wartime, particularly focusing on the perspective of Hungarians. The book explores themes of national identity, suffering, hope, love, and the tension between life and death, all set against the somber backdrop of war. Rather than following a single protagonist, it presents a mosaic of voices, reflections, and brief stories, painting a collective portrait of a nation under the strain of conflict.  The opening of ""Élet, halál"" moves through a series of lyrical prayers, vivid wartime observations, and poignant personal stories and sketches. It begins with a heartfelt prayer asking for divine protection for the Hungarian people, followed by expressive meditations on the war, the pain and camaraderie of soldiers, and the longing for peace. Szép alternates between prose and poetry, weaving together fragments of battlefield memories, the everyday heroism and suffering of civilians and soldiers, and the subtle beauty of ordinary moments—such as the story of an old woman donating handmade pillows or delicate ruminations on a sigh or a smile. The tone is alternatingly elegiac, observant, tender, and quietly ironic, giving readers immediate access to the emotional core of a society shaped by war. (This is an automatically generated summary.)",2
"Szabadság a hó alatt, vagy: A zöld könyv: Történelmi regény","Jókai, Mór","""Szabadság a hó alatt, vagy: A zöld könyv"" by Mór Jókai is a historical novel written in the late 19th century. The narrative immerses readers in a tense atmosphere filled with intriguing characters, highlighting themes of freedom and conflict against a backdrop of snow-covered landscapes and military movements. The story seems to revolve around two main characters—one a noble warrior following a trail of blood and roses, and the other a man embarking on a journey for an undisclosed purpose, hinting at the intertwining paths their destinies may take.  The opening of the novel sets a stark scene in a snowy forest, where a group of Cossack cavalry is seen transporting a bound figure along the trail. This haunting image leads to a character who forages for blood drops that transform into roses against the white snow, suggesting underlying themes of sacrifice and beauty amid brutality. As the narration unfolds, it juxtaposes the solitary quest of another man seemingly searching for something deeper, creating an air of mystery concerning their upcoming encounter. The passage hints at a significant event or revelation waiting to occur as the paths of these characters converge, hinting at the exploration of freedom amidst oppression and the complex nature of their journeys. (This is an automatically generated summary.)",2
Nagy magyarok élete (2. kötet),"Benedek, Elek","""Nagy magyarok élete (2. kötet)"" by Elek Benedek is a biographical work published in the early 1900s. This volume presents the lives of three pivotal Hungarian figures: King Louis the Great, János Hunyadi, and King Matthias. Part of a multi-volume series dedicated to great Hungarians, it offers popular biographical accounts that bring these historical leaders to life. The book chronicles their achievements and contributions to Hungarian history through accessible storytelling. (This is an automatically generated summary.)",2
Ne bántsuk egymást: Ujabb tréfák,"Karinthy, Frigyes","""Ne bántsuk egymást: Ujabb tréfák"" by Frigyes Karinthy is a collection of humorous stories written in the early 20th century. The work presents a satirical and playful examination of societal norms, individual behaviors, and the complexities of human relationships, often featuring caricatures of various characters and their absurd situations. The characters navigate encounters that highlight the quirks of human nature, primarily focusing on personalities caught in comedic misunderstandings.  At the start of this collection, we meet a melancholic poet who becomes entangled in an unexpected proposition from a mysterious character named John Devil. As the poet grapples with his creative block while attempting to conjure tears for his poetry, he receives an unusual offer to provide a mysterious substance for a considerable payment. The opening sets the stage for a series of humorous and philosophical explorations about the nature of art, success, and the human condition, with the poet's struggle serving as a comedic lens through which the author critiques societal expectations and personal aspirations. (This is an automatically generated summary.)",2
"Vidéki hirek, és más elbeszélések","Móricz, Zsigmond","""Vidéki hirek, és más elbeszélések"" by Zsigmond Móricz is a collection of short stories written in the early 20th century. The book delves into the life and dynamics in a rural town, focusing on the societal nuances and individual struggles of its inhabitants. The narrative begins by introducing an unnamed journalist, who embodies the frustrations and aspirations of a creative spirit stifled by his environment.  The opening of the collection showcases the journalist sitting alone in a local pub, reflecting on his life and the missed opportunities in his career. A conversation with Dr. Koncz, a young lawyer, unveils their mutual dissatisfaction with the stagnant local culture and the aspirations of its people. As they discuss various topics, including a notable absence of humor in local publications, the journalist's bitterness and desire to connect with a broader, more dynamic literary world becomes palpable. The introduction of supporting characters, such as the local schoolteacher and the vibrant young men from the town, highlights the contrasts between aspirations and reality, laying the groundwork for the exploration of themes like ambition, societal expectations, and the complexities of small-town life throughout the narrative. (This is an automatically generated summary.)",2
Tinta,"Kosztolányi, Dezső","""Tinta"" by Dezső Kosztolányi is a novel written in the early 20th century. The narrative begins on the eve of war, juxtaposing the mundane life of citizens with the impending chaos of conflict. It focuses on the experiences of a young student caught in the realities of a world on the brink of transformation, exploring themes of innocence, societal change, and the shadow of war.  The opening of ""Tinta"" depicts the day when the news of war breaks, offering a vivid and sensory-rich account of the nation's atmosphere as people engage in their daily lives, oblivious to the gravity of the situation looming before them. Among them is a seventeen-year-old student who ventures into the hills, pondering philosophical questions and unexpectedly encountering soldiers, thus marking the intrusion of war into personal and collective consciousness. Kosztolányi artfully captures the initial stages of societal numbness, juxtaposing tranquility with the foreboding sense of an imminent and turbulent change, foreshadowing the emotional landscape that will unfold as the narrative progresses. (This is an automatically generated summary.)",2
Népdalok és mondák (3. kötet); Magyar népköltési gyüjtemény,"Erdélyi, János","""Népdalok és mondák (3. kötet); Magyar népköltési gyüjtemény"" by János Erdélyi is a collection of Hungarian folk songs and tales written in the mid-19th century. This volume is part of a larger compilation sponsored by the Kisfaludy Society, aimed at preserving and celebrating the rich tradition of Hungarian folk culture. The works included reflect various themes, primarily love, social customs, and the experiences of rural life, showcasing the spirit of the Hungarian people through their music and storytelling.  The opening of the volume features an introduction by the editor, János Erdélyi, who expresses gratitude towards contributors who have shared their folk songs and tales. He aims to emphasize the importance of folk literature in the broader scope of Hungarian heritage. Following the introductory remarks, the content immediately transitions into the collection of love songs, each imbued with emotional depth and cultural significance. The songs range from declarations of love and longing to reflections on heartache and separation, illustrating the timeless nature of these experiences in the human condition. The lyrical beauty and poignant themes invite readers to a heartfelt exploration of Hungarian culture and tradition. (This is an automatically generated summary.)",2
"Dramaturgiai dolgozatok (1. kötet, 1850-1863)","Gyulai, Pál","""Dramaturgiai dolgozatok (1. kötet, 1850-1863)"" by Pál Gyulai is a collection of dramatic works and critiques written in the mid-19th century. This foundational volume delves into Hungarian theater, exploring original plays and translations, and addresses the state of drama and literature during Gyulai's time. The writing reflects upon the cultural landscape, critiquing the quality of contemporary works and emphasizing the need for literary revival in Hungary.  The opening of this collection introduces the author’s observations about the dramatic art during the period between 1850 and 1863, highlighting the scarcity of literary growth in the Alföld region. Gyulai laments the lack of appreciation for literature in towns like Debreczen and Szeged, advocating for a renewal of local literary engagement through newspapers and original works. He introduces the first original play “Vetélytársak” by Horváth Cyrill, reflecting on the shortcomings of the drama while hoping for a resurgence of serious artistic quality. The section sets a critical tone, emphasizing the need for improvement in Hungarian theater and literature. (This is an automatically generated summary.)",2
